EST,Temperature,DewPoint,Humidity,SeaLevelPressure,VisibilityMiles,WindspeedMPH,Precipitation
03/01/2024,67.7,40.4,69,30.28,5,11.8,0.39
03/02/2024,72.3,66.7,68,29.74,9,10.2,0.17
03/03/2024,62.8,50.0,55,30.14,9,5.2,0.38
03/04/2024,34.3,29.0,77,30.4,8,6.7,0.32
03/05/2024,47.8,52.7,80,30.24,9,11.4,0.4
03/06/2024,31.2,34.5,43,29.87,9,8.9,0.15
03/07/2024,60.8,27.5,70,29.52,10,10.9,0.23
03/08/2024,30.4,47.7,49,29.95,5,7.4,0.13
03/09/2024,55.5,67.6,67,30.0,6,5.1,0.07
03/10/2024,46.5,58.9,57,29.84,10,13.3,0.33
03/11/2024,35.6,26.3,52,30.09,7,5.4,0.24
03/12/2024,49.0,61.1,59,30.4,9,5.6,0.35
03/13/2024,76.7,38.0,59,30.02,7,8.2,0.25
03/14/2024,47.3,50.3,66,30.01,5,13.7,0.29
03/15/2024,55.2,64.8,50,30.33,5,7.9,0.49
03/16/2024,46.1,26.4,46,29.67,6,10.1,0.21
03/17/2024,42.5,35.9,47,30.4,7,5.4,0.48
03/18/2024,61.5,57.6,80,29.77,5,7.9,0.3
03/19/2024,49.7,69.1,46,29.59,8,9.8,0.03
03/20/2024,43.5,60.9,66,30.48,5,11.3,0.4
03/21/2024,76.6,55.3,79,29.96,9,6.1,0.21
03/22/2024,58.0,64.1,70,30.46,5,10.7,0.18
03/23/2024,79.2,45.1,40,29.57,6,8.5,0.39
03/24/2024,48.7,63.1,79,30.16,6,11.4,0.04
03/25/2024,75.4,27.7,74,29.68,10,13.7,0.35
03/26/2024,33.9,51.3,51,30.31,9,6.5,0.44
03/27/2024,41.8,60.3,43,30.22,5,13.5,0.26
03/28/2024,47.2,54.2,42,29.56,9,5.2,0.29
03/29/2024,37.8,32.9,58,30.03,7,13.0,0.3
03/30/2024,58.4,25.3,67,29.97,5,6.9,0.36
